level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	7659	4608	-1	
2	1	1	0	0	0	253	249	7406	4283	-1	
3	1	1	1	0	0	0	249	7659	4283	-1	
4	1	1	1	1	0	738	249	6121	242	-1	
5	1	1	1	1	1	738	261	1003	230	24.756231	honest
5	1	1	1	1	2	1841	261	640	230	96.819084	User
5	1	1	1	1	3	4878	257	686	233	86.276848	MIGA
5	1	1	1	1	4	5643	249	1216	241	95.162849	Attacker
4	1	1	1	2	0	304	836	6840	354	-1	
5	1	1	1	2	1	304	836	1191	354	53.111958	Os
5	1	1	1	2	2	5266	883	1233	304	0.000000	Sei
5	1	1	1	2	3	6792	837	352	353	46.414875	CO
4	1	1	1	3	0	5246	937	2204	1113	-1	
5	1	1	1	3	1	5246	937	2204	1113	43.108593	me,
4	1	1	1	4	0	5577	1517	1612	925	-1	
5	1	1	1	4	1	5577	2342	65	100	94.738434	>
5	1	1	1	4	2	6740	1517	449	861	23.245039	A
4	1	1	1	5	0	253	1511	7406	1473	-1	
5	1	1	1	5	1	253	1511	456	1377	37.259132	i
5	1	1	1	5	2	1460	2293	231	691	71.082520	\
5	1	1	1	5	3	1863	2297	1323	683	57.194633	(rest
5	1	1	1	5	4	4275	2539	1018	199	96.388451	Optimization
5	1	1	1	5	5	6077	2559	288	131	42.874142	y=
5	1	1	1	5	6	6431	2467	584	282	92.891205	argmax
5	1	1	1	5	7	7108	2467	71	282	43.474609	)
5	1	1	1	5	8	7371	2499	288	198	93.260712	I(t)
4	1	1	1	6	0	1747	3010	3976	385	-1	
5	1	1	1	6	1	1747	3029	150	366	6.223631	J,
5	1	1	1	6	2	4056	3135	565	173	96.757881	Setting
5	1	1	1	6	3	5598	3010	125	377	44.087219	I
4	1	1	1	7	0	3903	3331	1714	259	-1	
5	1	1	1	7	1	3903	3337	515	167	96.165115	Target
5	1	1	1	7	2	4475	3331	299	137	95.523834	Bits
5	1	1	1	7	3	4842	3402	775	188	63.015499	â€”
4	1	1	1	8	0	728	3649	6039	498	-1	
5	1	1	1	8	1	728	3649	2187	498	8.393669	ofajojlojo
5	1	1	1	8	2	4577	3651	2190	390	0.000000	afolajoja
4	1	1	1	9	0	1097	4090	6165	251	-1	
5	1	1	1	9	1	1097	4100	200	229	83.879898	A
5	1	1	1	9	2	6545	4090	104	220	30.046949	K
5	1	1	1	9	3	6696	4161	566	180	96.504097	Setting
4	1	1	1	10	0	6356	4361	1259	171	-1	
5	1	1	1	10	1	6356	4365	902	167	92.816757	Non-Target
5	1	1	1	10	2	7316	4361	299	135	96.073387	Bits
